tipo_req,tempo_segundos,tamanho_bytes
search_repos,3.8015942573547363,557798
get_prs,1.17867112159729,1686599
get_reviews,0.34270715713500977,2
get_reviews,0.3642849922180176,2
get_reviews,0.3435943126678467,2
get_reviews,0.36560916900634766,2
get_reviews,0.35875654220581055,2
get_reviews,0.42903733253479004,1668
get_reviews,0.39137959480285645,2
get_reviews,0.34453248977661133,2
get_reviews,0.5040678977966309,1661
get_reviews,0.5259850025177002,2
get_reviews,0.5316119194030762,1809
get_reviews,0.3660390377044678,2
get_reviews,0.45479536056518555,2237
get_reviews,0.36199069023132324,2
get_reviews,0.5750093460083008,2
get_reviews,0.3424708843231201,2
get_reviews,0.351696252822876,2
get_reviews,0.3403902053833008,2
get_reviews,0.34074997901916504,2
get_reviews,0.3622114658355713,2
get_reviews,0.3214225769042969,2
get_reviews,0.33322954177856445,2
get_reviews,0.3624999523162842,2
get_prs,1.7257428169250488,1954143
get_reviews,0.3435966968536377,2
get_reviews,0.4321463108062744,1609
get_reviews,0.43849802017211914,2672
get_reviews,0.35982656478881836,2
get_reviews,0.3365504741668701,2
get_reviews,0.3441162109375,2
get_reviews,0.3377652168273926,2
get_reviews,0.342252254486084,2
get_reviews,0.3395562171936035,2
get_reviews,0.41990089416503906,1546
get_reviews,0.31697821617126465,2
get_reviews,0.32926464080810547,2
get_reviews,0.32482457160949707,2
get_reviews,0.47400689125061035,2589
get_reviews,0.4133164882659912,1609
get_reviews,0.3256654739379883,2
get_reviews,0.3357417583465576,2
get_reviews,0.3372063636779785,2
get_reviews,0.3569142818450928,2
get_reviews,0.33664393424987793,2
get_reviews,0.3300309181213379,2
get_reviews,0.34041833877563477,2
get_reviews,0.3204362392425537,2
get_reviews,0.36867403984069824,2
get_reviews,0.34240055084228516,2
get_reviews,0.34648585319519043,2
get_reviews,0.35634946823120117,2
get_reviews,0.4058828353881836,2347
get_reviews,0.353222131729126,2
get_reviews,0.32973170280456543,2
get_reviews,0.42409586906433105,1968
get_reviews,0.3294332027435303,2
get_reviews,0.3080463409423828,2
get_reviews,0.32758402824401855,2
