tipo_req,tempo_segundos,tamanho_bytes
graphql_query_completa,4.399966716766357,77483
graphql_query_completa,3.988046646118164,76956
graphql_query_completa,3.2239201068878174,46001
graphql_query_completa,3.5638930797576904,75801
graphql_query_completa,4.330678701400757,78766
graphql_query_completa,4.0002758502960205,80114
graphql_query_completa,3.072817325592041,45253
graphql_query_completa,3.9403066635131836,78672
graphql_query_completa,3.6461315155029297,71123
graphql_query_completa,3.6861324310302734,76929
graphql_query_completa,3.8409688472747803,77704
graphql_query_completa,4.062671422958374,78730
graphql_query_completa,3.8826162815093994,68432
graphql_query_completa,4.195789098739624,78220
graphql_query_completa,4.039508819580078,77823
graphql_query_completa,4.367149353027344,79455
graphql_query_completa,5.2629618644714355,77268
graphql_query_completa,4.4756529331207275,80131
graphql_query_completa,3.4422435760498047,64697
graphql_query_completa,3.969904899597168,79772
graphql_query_completa,4.127810001373291,78698
graphql_query_completa,4.288129806518555,75701
