tipo_req,tempo_segundos,tamanho_bytes
graphql_query_completa,5.936631917953491,77339
graphql_query_completa,5.7474987506866455,77056
graphql_query_completa,5.523822546005249,61062
graphql_query_completa,6.4422688484191895,60740
graphql_query_completa,7.43241810798645,79091
graphql_query_completa,5.864328622817993,80326
graphql_query_completa,4.624511480331421,45397
graphql_query_completa,5.031983375549316,79700
graphql_query_completa,5.586114883422852,71230
graphql_query_completa,5.853058338165283,76828
graphql_query_completa,7.381255388259888,69117
graphql_query_completa,5.8859288692474365,78772
graphql_query_completa,6.492772102355957,77091
graphql_query_completa,6.248164415359497,78185
graphql_query_completa,5.416581869125366,77986
graphql_query_completa,7.008293867111206,79055
graphql_query_completa,6.099169015884399,76715
graphql_query_completa,7.467362403869629,79091
graphql_query_completa,4.975943326950073,65367
graphql_query_completa,5.717573165893555,79373
graphql_query_completa,5.482294797897339,78929
graphql_query_completa,6.308008909225464,77314
